Time [local],Min,10,20,30,40,50,60,70,80,90,Max,QueryRate,Queries,Load Factor
6/22/2023 14:39,2467,3125,3385,3630,3815,4071,4322,4543,4872,5686,8648,7.05,423,2.177358491
6/22/2023 14:40,2216,3141,3470,3666,3912,4091,4344,4658,4970,5801,10437,8.733333333,524,2.835803877
6/22/2023 14:41,2257,3079,3402,3630,3777,4051,4258,4566,4945,5630,9008,5.25,315,2.944751381
6/22/2023 14:42,2094,3079,3385,3703,3892,4091,4365,4566,4872,5658,8525,6.916666667,415,2.07750953
6/22/2023 14:43,2393,3110,3385,3558,3796,3951,4174,4453,4728,5464,7968,6.166666667,370,2.427518428
6/22/2023 14:44,2397,3156,3470,3630,3815,3990,4195,4409,4823,5491,21534,5.3,318,2.773613193
6/22/2023 14:45,2264,3110,3488,3721,3971,4174,4344,4520,4847,5250,9067,5.15,309,3.656652361
6/22/2023 14:46,2202,2857,3172,3436,3666,3834,4051,4365,4658,5095,9113,4.316666667,259,3.065602837
6/22/2023 14:47,2483,3125,3385,3630,3873,4091,4431,4635,4921,5743,7980,3.483333333,209,3.050916497
6/22/2023 14:48,2228,3204,3505,3721,3951,4195,4520,4823,5329,6159,21435,9.366666667,562,2.317460317
6/22/2023 14:49,2167,3188,3488,3777,4010,4258,4520,4921,5491,6159,21327,8.85,531,2.811778291
6/22/2023 14:50,2106,2973,3204,3419,3703,3834,4153,4387,4704,5437,13339,3.25,195,2.777096115
6/22/2023 14:51,2436,3079,3402,3576,3796,4051,4237,4476,4775,5977,9969,3.683333333,221,2.609218437
6/22/2023 14:52,2326,2973,3402,3594,3740,3971,4153,4431,4799,5574,8347,2.816666667,169,2.570512821
6/22/2023 14:53,2231,2944,3220,3505,3703,3912,4132,4409,4847,5602,12269,5.783333333,347,2.007886435
6/22/2023 14:54,2111,3063,3335,3594,3777,3971,4237,4498,4847,5491,9353,3.6,216,2.103869654
6/22/2023 14:55,2268,2944,3125,3301,3419,3576,3777,4010,4409,5020,24535,22.91666667,1375,2.588433464
6/22/2023 14:56,2353,3003,3318,3505,3796,3951,4132,4409,4945,5830,8787,4.3,258,3.181328546
6/22/2023 14:57,2597,3172,3419,3612,3777,3990,4174,4387,4704,5146,7452,7.5,450,2.084170854
6/22/2023 14:58,2503,3156,3419,3648,3892,4071,4344,4543,5095,5947,9087,3.2,192,3.540322581
6/22/2023 14:59,2318,3125,3505,3759,3951,4216,4520,4823,5172,5801,9806,4.833333333,290,2.194675541
6/22/2023 15:00,2530,3204,3523,3759,3951,4132,4301,4658,4945,5715,10337,4.583333333,275,2.900542495
6/22/2023 15:01,2108,2900,3285,3540,3740,4091,4409,4775,5172,5918,8405,3.75,225,3.342967245
6/22/2023 15:02,2386,3110,3318,3488,3666,3854,4030,4258,4635,5437,12704,11.63333333,698,2.770992366
6/22/2023 15:03,2604,3172,3523,3759,3971,4174,4409,4728,5095,6067,15314,3.333333333,200,2.631578947
6/22/2023 15:04,2139,3079,3419,3630,3854,4051,4301,4635,5070,5859,18237,6.883333333,413,2.748120301
6/22/2023 15:05,1804,2420,2651,2828,3003,3172,3368,3630,3990,4704,14299,54.1,3246,2.881820675
6/22/2023 15:06,1706,2547,2800,2988,3125,3285,3453,3666,4030,4847,19866,75.03333333,4502,4.773343974
6/22/2023 15:07,1781,2914,3188,3385,3540,3684,3873,4112,4476,5224,50283,20.05,1203,2.539776463
6/22/2023 15:08,1906,2522,2786,3003,3204,3385,3558,3796,4132,4775,10535,30.41666667,1825,2.309714795
6/22/2023 15:09,1731,2403,2598,2786,2944,3125,3301,3523,3854,4566,9238,56.66666667,3400,2.616113744
6/22/2023 15:10,1803,2445,2677,2843,3033,3236,3436,3666,3990,4612,8981,35.36666667,2122,2.908759124
6/22/2023 15:11,1752,2522,2759,2958,3141,3351,3540,3796,4237,4847,11534,26.25,1575,3.610994764
6/22/2023 15:12,2093,3048,3402,3612,3796,4091,4365,4589,5070,5830,24398,4.15,249,2.244444444
6/22/2023 15:13,2482,3079,3436,3594,3777,4091,4387,4970,5410,6474,15865,4.683333333,281,2.261941448
6/22/2023 15:14,2196,3018,3335,3612,3912,4174,4520,4847,5519,6378,15221,5.15,309,2.685800604
6/22/2023 15:15,2529,3094,3368,3558,3796,4051,4237,4520,4752,5437,25874,4.55,273,4.198449612
6/22/2023 15:16,2066,3141,3351,3540,3777,3971,4132,4344,4635,5250,9055,7.65,459,2.860520095
6/22/2023 15:17,2138,3003,3269,3436,3612,3834,4091,4365,4823,5574,15713,11.28333333,677,2.341959335
6/22/2023 15:18,2328,3079,3402,3648,3796,3951,4216,4589,5198,6098,8927,5.483333333,329,3.162002946
6/22/2023 15:19,2446,3188,3453,3576,3796,3931,4112,4322,4635,5329,9703,7.516666667,451,2.303203661
6/22/2023 15:20,2174,3079,3385,3703,3990,4237,4476,4775,5121,5772,12871,17.2,1032,3.004379562
6/22/2023 15:21,1902,2814,3033,3269,3523,3815,4112,4409,4752,5383,28939,138.45,8307,4.515559013
6/22/2023 15:22,1786,2704,2900,3063,3220,3402,3666,3990,4387,4995,20650,168.3666667,10102,4.446710768
6/22/2023 15:23,1773,2677,2857,3003,3141,3285,3470,3740,4153,4775,10808,117.4833333,7049,3.945674831
6/22/2023 15:24,2147,2857,3033,3188,3318,3436,3594,3815,4132,4728,10475,53.08333333,3185,3.101496599
6/22/2023 15:25,2079,2929,3156,3335,3505,3666,3873,4195,4589,5437,11503,20.16666667,1210,2.502208202
6/22/2023 15:26,2153,3172,3402,3703,3931,4153,4344,4681,5121,5859,11412,9.65,579,3.148526077
6/22/2023 15:27,2375,3156,3436,3666,3873,4051,4279,4589,5045,5574,12589,8.4,504,2.36473755
6/22/2023 15:28,2130,3110,3335,3470,3648,3834,4010,4258,4543,5329,14353,14.63333333,878,2.051580699
6/22/2023 15:29,2095,3188,3453,3648,3834,4030,4301,4589,4970,5519,8643,8.633333333,518,3.196188341
6/22/2023 15:30,2281,3079,3301,3540,3777,4051,4258,4752,5121,6098,11753,8.083333333,485,3.328813559
6/22/2023 15:31,2317,3079,3385,3630,3815,4091,4409,4704,5146,6007,13192,8.1,486,2.087011349
6/22/2023 15:32,2259,3204,3453,3721,3892,4132,4301,4612,4995,5574,12993,7.116666667,427,1.922437673
6/22/2023 15:33,2130,2973,3236,3488,3684,3951,4132,4365,4681,5546,9834,7.816666667,469,2.811576355
6/22/2023 15:34,1964,3079,3335,3558,3796,3990,4174,4387,4658,5172,13353,8.383333333,503,2.434886499
6/22/2023 15:35,2098,3156,3385,3630,3854,4010,4258,4453,4752,5410,8023,5.366666667,322,2.45264624
6/22/2023 15:36,2084,3048,3351,3576,3834,4071,4301,4566,4896,5888,11181,6.883333333,413,2.663705584
6/22/2023 15:37,2166,3063,3269,3436,3594,3796,4010,4216,4476,5095,14995,16.48333333,989,2.795404003
6/22/2023 15:38,2247,3063,3252,3436,3630,3873,4112,4365,4752,5574,8457,11.5,690,3.013011152
6/22/2023 15:39,2136,2973,3285,3523,3721,3931,4153,4431,4896,5743,11103,10.56666667,634,2.895104895
6/22/2023 15:40,1956,2944,3252,3470,3648,3815,4051,4301,4589,5146,8759,10.75,645,2.631344613
6/22/2023 15:41,2168,3110,3368,3558,3759,4010,4237,4431,4872,5743,11486,7.716666667,463,3.89835729
6/22/2023 15:42,2072,2944,3141,3301,3453,3612,3777,4030,4322,4970,16904,36.16666667,2170,3.046388102
6/22/2023 15:43,1710,3003,3204,3351,3523,3703,3873,4112,4453,5224,9363,26.06666667,1564,3.099951243
6/22/2023 15:44,2130,3018,3301,3505,3721,3912,4112,4322,4752,5574,15844,10.8,648,2.772646536
6/22/2023 15:45,2118,3220,3453,3666,3834,3990,4195,4476,4704,5329,8814,7.766666667,466,3.545673077
6/22/2023 15:46,2382,3110,3385,3576,3777,3951,4174,4431,4847,5630,20378,6.933333333,416,3.093789607
6/22/2023 15:47,2045,2944,3252,3505,3684,3892,4153,4431,4847,5602,8791,5.483333333,329,2.121253406
6/22/2023 15:48,2056,3188,3488,3721,3971,4216,4453,4752,5172,6098,12191,10.83333333,650,4.094282849
6/22/2023 15:49,1924,3063,3419,3740,3990,4258,4589,4921,5356,5947,21627,20.83333333,1250,2.793357934
6/22/2023 15:50,2339,3204,3470,3703,3892,4071,4279,4543,4823,5464,8961,7.066666667,424,1.915525114
6/22/2023 15:51,2548,3188,3470,3612,3815,4071,4301,4566,4995,5947,19894,7,420,2.164141414
6/22/2023 15:52,2162,3141,3436,3703,3951,4132,4365,4589,4995,5546,10676,5.85,351,2.457865169
6/22/2023 15:53,2159,3033,3505,3703,3854,4153,4365,4612,4872,5658,8859,4.666666667,280,2.099662162
6/22/2023 15:54,2521,3125,3419,3612,3777,3971,4258,4520,4896,5888,15530,5.6,336,2.474959612
6/22/2023 15:55,2144,3079,3335,3505,3666,3951,4195,4498,4823,5743,13203,10.98333333,659,2.329230769
6/22/2023 15:56,2056,3033,3285,3488,3648,3873,4132,4431,4921,5743,20155,18.18333333,1091,2.401628223
6/22/2023 15:57,2375,3141,3419,3630,3796,4010,4258,4543,4945,5715,16181,8.95,537,2.425882353
6/22/2023 15:58,2147,3125,3402,3594,3777,3971,4216,4476,4872,5546,7453,7.2,432,2.726582278
6/22/2023 15:59,2133,3003,3385,3666,3854,4030,4301,4453,4847,5491,15253,5.183333333,311,1.864130435
6/22/2023 16:00,1920,2664,2973,3220,3436,3648,3931,4237,4681,5574,16245,12.66666667,760,3.067732832
6/22/2023 16:01,1720,2432,2664,2871,3048,3220,3419,3666,4071,4921,17272,60.45,3627,4.100965108
6/22/2023 16:02,1698,2446,2664,2871,3033,3236,3436,3684,4051,4775,10892,50.13333333,3008,2.403570383
6/22/2023 16:03,2201,2800,3079,3318,3612,3834,4071,4431,4775,5464,19056,12.25,735,2.863986313
6/22/2023 16:04,1908,2534,2814,3003,3188,3351,3576,3873,4174,4945,11035,20.48333333,1229,2.200725514
6/22/2023 16:05,1654,2476,2704,2900,3079,3252,3453,3703,4030,4704,18055,32.88333333,1973,2.308336824
6/22/2023 16:06,1581,2386,2586,2773,2944,3110,3301,3523,3834,4453,8330,59.33333333,3560,3.161225006
6/22/2023 16:07,1888,2586,2914,3125,3368,3594,3834,4112,4476,5121,14587,12.6,756,1.877644894
6/22/2023 16:08,2353,3063,3335,3558,3777,4010,4258,4658,5070,6007,13963,6.15,369,2.262553802
6/22/2023 16:09,2038,3094,3318,3505,3721,3931,4174,4409,4799,5491,14237,6.65,399,2.159122085
6/22/2023 16:10,2348,3204,3436,3666,3854,4153,4365,4752,5329,6007,11599,5.75,345,1.81402439
6/22/2023 16:11,2087,3063,3351,3594,3777,3971,4195,4431,4728,5224,7883,6.566666667,394,2.050617284
6/22/2023 16:12,2378,3018,3252,3505,3648,3854,4010,4301,4775,5830,8672,9.65,579,2.432048682
6/22/2023 16:13,2139,2958,3204,3385,3558,3759,4010,4322,4681,5658,9957,19.18333333,1151,2.467277487
6/22/2023 16:14,2310,3188,3436,3666,3931,4132,4387,4704,5045,5888,16965,6.8,408,2.378186969
6/22/2023 16:15,2342,2988,3436,3666,3892,4112,4387,4658,4995,5830,9201,6.35,381,3.088105727
6/22/2023 16:16,2391,3141,3402,3576,3815,3971,4195,4476,4823,5686,11318,6.233333333,374,2.231884058
6/22/2023 16:17,2358,3063,3285,3523,3721,3971,4195,4431,4775,5356,7429,9.033333333,542,3.083705357
6/22/2023 16:18,2359,2929,3220,3470,3684,3951,4132,4476,4847,5830,20399,5.95,357,2.561561562
6/22/2023 16:19,2258,3063,3385,3612,3892,4030,4344,4635,4995,5772,9099,4.85,291,2.097520661
6/22/2023 16:20,2293,3141,3385,3684,3931,4112,4279,4453,4799,5172,20713,5.65,339,2.439868204
6/22/2023 16:21,2459,3125,3488,3666,3873,4051,4322,4543,4847,5224,15745,4.933333333,296,2.007181329
6/22/2023 16:22,2624,3033,3301,3505,3740,3931,4132,4409,4752,5519,13989,4.083333333,245,1.955963303
6/22/2023 16:23,2231,3110,3385,3594,3815,3990,4195,4431,4704,5410,8079,5.366666667,322,1.871175523
6/22/2023 16:24,2190,3033,3301,3558,3759,3971,4132,4409,4775,5630,9765,4.333333333,260,1.926739927
6/22/2023 16:25,2524,3063,3402,3594,3796,4030,4322,4612,5045,5658,9036,4.116666667,247,1.76
6/22/2023 16:26,2324,3188,3505,3777,3971,4132,4365,4658,4921,5574,19449,4.833333333,290,2.986733002
6/22/2023 16:27,2524,3125,3318,3612,3854,4051,4237,4543,4872,5772,11112,3.683333333,221,1.789264414
6/22/2023 16:28,2276,3156,3402,3759,3931,4091,4322,4612,5070,5977,8136,2.583333333,155,2.227368421
6/22/2023 16:29,2455,3156,3351,3648,3873,4258,4431,4728,5121,5772,18135,2.666666667,160,2.419354839
6/22/2023 16:30,2258,3094,3540,3759,3971,4132,4344,4612,4872,5658,9591,4.133333333,248,3.139534884
6/22/2023 16:31,2393,3018,3204,3436,3630,3873,4112,4387,4775,5546,14323,4.833333333,290,2.688356164
